"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MAFA",0,2.05228633615082,0.82,0.07,0,"Beta2","MAFA"
"C1QL1",0,2.02451134565963,0.934,0.168,0,"Beta2","C1QL1"
"PCSK1",0,1.87118859046205,0.817,0.078,0,"Beta2","PCSK1"
"HADH",0,1.6984340881104,0.906,0.129,0,"Beta2","HADH"
"SAMD11",0,1.61939697495403,0.76,0.06,0,"Beta2","SAMD11"
"NKX6-1",0,1.57402078281694,0.758,0.083,0,"Beta2","NKX6-1"
"GSN",2.77810516856166e-305,1.55425654424916,0.804,0.12,7.31530652985657e-301,"Beta2","GSN"
"DLK1",3.47787506117911e-265,1.83239626059336,0.749,0.113,9.15794061109684e-261,"Beta2","DLK1"
"SORL1",5.64980292257981e-255,1.22217287865665,0.751,0.126,1.48770610557371e-250,"Beta2","SORL1"
"ABCC8",1.18720839575687e-246,1.95753492130545,0.952,0.254,3.12615714770698e-242,"Beta2","ABCC8"
"GAD2",9.11470492522431e-233,1.47007469358459,0.822,0.166,2.40008410091006e-228,"Beta2","GAD2"
"UCHL1",1.01422421485139e-198,1.00096376307625,0.858,0.198,2.67065520254668e-194,"Beta2","UCHL1"
"EEF1A2",1.13337990707437e-189,1.14999851472001,0.852,0.212,2.98441597130824e-185,"Beta2","EEF1A2"
"TMOD1",8.11368513818719e-189,1.03893293722024,0.742,0.157,2.13649557058745e-184,"Beta2","TMOD1"
"ERO1LB",1.42480571329546e-179,1.26592062557654,0.856,0.232,3.75179840424961e-175,"Beta2","ERO1LB"
"SURF4",4.22959463250931e-178,1.41192036185004,0.904,0.282,1.11373685863235e-173,"Beta2","SURF4"
"INS1",1.90373477215813e-171,1.65776965792403,1,0.859,5.0129144020468e-167,"Beta2","INS"
"PAM",5.65098005094394e-171,1.25891348279439,0.936,0.294,1.48801606701456e-166,"Beta2","PAM"
"SLC30A8",1.49434883892296e-169,1.24735249431305,0.895,0.25,3.93491936265195e-165,"Beta2","SLC30A8"
"GNAS1",3.09432306193466e-151,1.13808453350656,1,0.87,8.14797148668635e-147,"Beta2","GNAS"
"CNIH2",4.90430258230625e-142,1.03102729451974,0.715,0.182,1.29140095597288e-137,"Beta2","CNIH2"
"G6PC2",1.35458837601767e-139,1.05691311161828,0.797,0.223,3.56690211172974e-135,"Beta2","G6PC2"
"MXRA7",1.07639373878631e-138,1.03847159555471,0.927,0.338,2.83435999297211e-134,"Beta2","MXRA7"
"IAPP1",1.36941628513e-130,1.72428816852109,0.989,0.748,3.60594696200431e-126,"Beta2","IAPP"
"CDKN1C",8.71445394714886e-96,1.46108734699201,0.79,0.296,2.29469001336324e-91,"Beta2","CDKN1C"
"COL1A1",0,5.31752801477865,0.853,0.129,0,"Stellate","COL1A1"
"COL3A1",0,4.84781979410224,0.724,0.035,0,"Stellate","COL3A1"
"COL1A2",0,4.64855806653542,0.706,0.034,0,"Stellate","COL1A2"
"BGN",0,4.54666194416275,0.756,0.097,0,"Stellate","BGN"
"SPARC",0,4.00684742420615,0.716,0.051,0,"Stellate","SPARC"
"TIMP1",5.39843151659073e-135,3.06136891959686,0.833,0.451,1.42151498694867e-130,"Stellate","TIMP1"
"RPL10",2.55383667315472e-31,1.03159368968186,0.739,0.611,6.72476272775101e-27,"Stellate","RPL10"
"TMSB4X",1.47432887079126e-106,2.04055766715463,0.88,0.614,3.88220278256755e-102,"Ductal2","TMSB4X"
"ACTB",3.53013359197619e-21,1.0026336236923,0.724,0.715,9.29554777439171e-17,"Ductal2","ACTB"
"KRT19",0,2.9894886066659,0.859,0.09,0,"Ductal1","KRT19"
"TACSTD2",0,2.71058943796723,0.888,0.073,0,"Ductal1","TACSTD2"
"PMEPA1",0,2.69983976584619,0.845,0.091,0,"Ductal1","PMEPA1"
"KRT7",0,2.46336961874279,0.773,0.061,0,"Ductal1","KRT7"
"SERINC2",2.9330517019306e-282,2.01760324072068,0.701,0.074,7.72331174152365e-278,"Ductal1","SERINC2"
"ANXA4",2.74967969622388e-274,2.5972174261443,0.763,0.097,7.24045657609671e-270,"Ductal1","ANXA4"
"CD44",1.3516951168202e-271,2.33978187421068,0.816,0.111,3.55928358161095e-267,"Ductal1","CD44"
"KRT18",3.20003375988934e-259,2.71659097347914,0.809,0.124,8.42632889654062e-255,"Ductal1","KRT18"
"SDC4",1.59335413781403e-254,1.84708432322392,0.734,0.086,4.19562011569191e-250,"Ductal1","SDC4"
"TM4SF1",6.75482242931076e-236,1.67813445996584,0.766,0.102,1.77867984208611e-231,"Ductal1","TM4SF1"
"SOX4",4.69033372797415e-224,2.18768285901847,0.816,0.133,1.23505867725015e-219,"Ductal1","SOX4"
"ZFP36L1",3.6949446910148e-213,1.85483851579407,0.76,0.115,9.72952836038016e-209,"Ductal1","ZFP36L1"
"SERPING1",8.7586349793701e-191,2.32890762319799,0.763,0.147,2.30632376276773e-186,"Ductal1","SERPING1"
"CLDN4",7.19659641165762e-188,1.86178639340327,0.75,0.133,1.89500776711768e-183,"Ductal1","CLDN4"
"TNFRSF12A",1.22386915544768e-184,1.89627684637932,0.737,0.132,3.22269226012482e-180,"Ductal1","TNFRSF12A"
"CD24",2.57456645153219e-181,2.03285465613127,0.822,0.175,6.77934838017457e-177,"Ductal1","CD24"
