"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DCTD",6.32669920985344e-36,0.361745814790101,0.342,0.104,1.66594643593861e-31,"9","DCTD"
"CLIC12",6.42852923805622e-36,0.428155687170904,0.635,0.285,1.69276031896496e-31,"9","CLIC1"
"FLII",6.56706933815095e-36,0.38549906244339,0.27,0.07,1.72924069812191e-31,"9","FLII"
"ZFYVE21",8.76613268274784e-36,0.276618370622445,0.339,0.102,2.30829805802116e-31,"9","ZFYVE21"
"ALDOA2",9.74992664685572e-36,0.361811887547355,0.497,0.195,2.56735068465005e-31,"9","ALDOA"
"MACF12",1.21300621868224e-35,0.56915316239784,0.507,0.202,3.19408797503408e-31,"9","MACF1"
"HADHA",1.75717743336864e-35,0.401733389919767,0.467,0.172,4.6269996175463e-31,"9","HADHA"
"PTP4A11",1.98294897835258e-35,0.347708722272733,0.582,0.243,5.22150124979802e-31,"9","PTP4A1"
"APEX1",2.39231894991043e-35,0.467074935468479,0.286,0.079,6.29945425890416e-31,"9","APEX1"
"EMC6",3.60363550685431e-35,0.410773783784118,0.306,0.089,9.48909301664876e-31,"9","EMC6"
"C4orf31",3.7833773790579e-35,0.419531854748385,0.438,0.159,9.96238931453525e-31,"9","C4orf3"
"CLTB",5.25702770318872e-35,0.599116752569423,0.368,0.122,1.38428053480365e-30,"9","CLTB"
"FDFT1",5.31167012275269e-35,0.495548725307694,0.418,0.149,1.39866897672324e-30,"9","FDFT1"
"MTRNR2L81",6.46394855467369e-35,0.860578354239739,0.819,0.477,1.70208693341668e-30,"9","MTRNR2L8"
"CLTA",7.11750997724102e-35,0.419131351028365,0.48,0.185,1.87418272720711e-30,"9","CLTA"
"MT-RNR11",7.12171269208399e-35,0.863359698428558,0.97,0.726,1.87528938607956e-30,"9","MT-RNR1"
"CAPNS11",8.73328616037155e-35,0.388915203710984,0.655,0.3,2.29964891174904e-30,"9","CAPNS1"
